d,d_A,b,a,d_1,e,Y,Y_0,C_dyn,C_stat,n_lim,m,Name
55,110,39,27,81.5,0.35,1.73,0.95,176000,226000,6500,1.63,T2ED055
55,115,34,40,88.8,0.87,0.69,0.38,152000,165000,6600,1.59,T7FC055-XL
55,120,31.5,25,85.4,0.35,1.74,0.96,180000,175000,6900,1.63,30311-XL
60,85,17,16,73.8,0.33,1.81,1,49000,85000,8300,0.315,32912
60,95,23,21,79.6,0.43,1.39,0.77,97000,124000,8000,0.61,32012-X-XL
60,95,27,20,78.6,0.33,1.83,1.01,95000,148000,7300,0.714,33012
60,100,21,22,79.9,0.47,1.27,0.7,75000,93000,7200,0.597,T4CB060
60,100,30,24,81.9,0.4,1.51,0.83,116000,171000,6900,0.918,33112
60,110,23.75,22,82.4,0.41,1.48,0.81,122000,123000,7500,0.95,30212-XL
60,110,29.75,25,83.2,0.4,1.48,0.81,158000,171000,7200,1.18,32212-XL
60,110,38,28,86.2,0.4,1.48,0.82,169000,237000,6300,1.55,33212
60,115,39,33,90.9,0.53,1.13,0.62,156000,223000,6000,1.82,T5ED060
60,125,37,42,95.8,0.82,0.73,0.4,181000,200000,6100,2.03,T7FC060-XL
60,130,33.5,27,92.2,0.35,1.74,0.96,208000,204000,6300,2.03,30312-XL
60,130,48.5,32,92.5,0.35,1.74,0.96,285000,310000,6100,2.96,32312-XL
65,90,17,17,79,0.35,1.7,0.93,49500,88000,7800,0.326,32913
65,100,23,23,85.1,0.46,1.31,0.72,97000,125000,7500,0.66,32013-X-XL
65,100,27,21,84.6,0.35,1.72,0.95,100000,161000,6900,0.766,33013
65,105,21,24,84.4,0.5,1.2,0.66,80000,102000,6800,0.65,T4CB065
65,110,34,26,89.6,0.39,1.55,0.85,149000,225000,6200,1.31,33113
65,120,24.75,24,90.6,0.4,1.48,0.81,142000,143000,6800,1.16,30213-XL
65,120,32.75,27,91.6,0.4,1.48,0.81,185000,202000,6500,1.57,32213-XL
65,120,39,35,95.9,0.56,1.07,0.59,161000,235000,5700,1.91,T5ED065
65,120,41,30,93.1,0.39,1.54,0.85,242000,285000,6300,2.02,33213-XL
65,130,37,45,101,0.87,0.69,0.38,186000,211000,5700,2.15,T7FC065-XL
65,140,51,35,99.6,0.35,1.74,0.96,320000,350000,5600,3.61,32313-XL
70,100,20,18,85.9,0.32,1.9,1.05,85000,116000,7600,0.494,32914-XL
70,110,21,23,90.2,0.46,1.3,0.72,82000,108000,6500,0.691,T4CB070
70,110,25,24,91.7,0.43,1.38,0.76,123000,159000,6900,0.88,32014-X-XL
70,110,31,23,91,0.28,2.11,1.16,136000,223000,6200,1.21,33014
70,120,37,28,96,0.38,1.58,0.87,174000,260000,5700,1.71,33114
70,125,26.25,25,95.2,0.42,1.43,0.79,155000,162000,6400,1.31,30214-XL
70,125,33.25,28,96.4,0.42,1.43,0.79,194000,216000,6200,1.81,32214-XL
70,125,41,31,97.5,0.41,1.47,0.81,210000,300000,5500,2.12,33214
70,130,43,31,99.6,0.33,1.8,0.99,225000,310000,5300,2.52,T2ED070
70,140,39,47,108.8,0.87,0.69,0.38,208000,237000,5300,2.68,T7FC070-XL
70,150,54,37,106.4,0.35,1.74,0.96,370000,410000,5200,4.39,32314-XL
75,105,20,19,90.5,0.33,1.8,0.99,74000,124000,6600,0.519,32915
75,115,21,25,94.6,0.48,1.24,0.68,83000,113000,6100,0.722,T4CB075
75,115,26,25,97,0.46,1.31,0.72,124000,165000,6500,0.92,32015-X-XL
75,115,31,23,96.4,0.3,2.01,1.11,139000,232000,5900,1.16,33015
75,125,37,30,101.9,0.4,1.51,0.83,178000,275000,5400,1.81,33115
75,130,27.25,27,100.4,0.43,1.38,0.76,160000,169000,6100,1.4,30215-XL
75,130,33.25,30,101.6,0.43,1.38,0.76,201000,227000,5900,1.76,32215-XL
75,130,41,32,103.9,0.43,1.4,0.77,245000,310000,5700,2.25,33215-XL
75,135,43,32,103.4,0.35,1.73,0.95,233000,330000,5100,2.66,T2ED075
75,150,42,51,116.6,0.87,0.69,0.38,238000,275000,4950,3.22,T7FC075-XL
80,110,20,20,96.1,0.35,1.71,0.94,77000,132000,6300,0.56,32916
80,125,24,26,101,0.45,1.33,0.73,114000,150000,5600,1,T4CB080
80,125,29,27,104.2,0.42,1.42,0.78,162000,212000,6000,1.29,32016-X-XL
80,125,36,26,103.2,0.28,2.16,1.19,208000,290000,5900,1.63,33016-XL
80,130,37,31,106.6,0.42,1.44,0.79,188000,300000,5200,1.91,33116
80,140,28.25,28,106.4,0.42,1.43,0.79,184000,193000,5700,1.68,30216-XL
80,140,35.25,31,107.7,0.42,1.43,0.79,234000,265000,5500,2.15,32216-XL
80,140,42,40,113.5,0.57,1.05,0.58,204000,320000,4800,2.75,T5ED080
80,140,46,35,112.2,0.43,1.41,0.78,295000,385000,5300,2.98,33216-XL
80,145,46,33,110.3,0.32,1.88,1.03,265000,370000,4750,3.2,T2ED080
80,160,45,54,124.3,0.87,0.69,0.38,270000,315000,4600,3.98,T7FC080-XL
85,120,23,21,102.6,0.33,1.83,1.01,95000,160000,5700,0.778,32917
85,130,24,27,106.1,0.47,1.27,0.7,116000,157000,5400,1.05,T4CB085
85,130,29,29,109.1,0.44,1.36,0.75,167000,224000,5700,1.36,32017-X-XL
85,130,36,27,108.5,0.29,2.06,1.13,184000,315000,5100,1.89,33017
85,140,41,33,114.7,0.41,1.48,0.81,221000,350000,4750,2.54,33117
85,145,42,39,118.5,0.52,1.14,0.63,210000,340000,4600,2.87,T5ED085
85,150,30.5,30,112.9,0.42,1.43,0.79,212000,226000,5300,2.13,30217-XL
85,150,38.5,34,114.7,0.42,1.43,0.79,270000,305000,5200,2.71,32217-XL
85,150,46,34,115.5,0.33,1.8,0.99,275000,395000,4600,3.35,T2ED085
85,150,49,37,117.6,0.42,1.43,0.79,295000,435000,4500,3.58,33217
85,170,48,55,132,0.8,0.75,0.41,310000,365000,4350,4.83,T7FC085-XL
90,125,23,22,107.8,0.34,1.75,0.96,99000,171000,5500,0.918,32918
90,135,24,30,111.1,0.49,1.21,0.67,119000,164000,5100,1.1,T4CB090
90,140,32,30,115.8,0.42,1.42,0.78,195000,255000,5400,1.76,32018-X-XL
90,140,39,28,116,0.27,2.23,1.23,216000,365000,4750,2.26,33018
90,150,42,41,123.7,0.55,1.1,0.6,214000,355000,4450,2.99,T5ED090
90,150,45,36,121.8,0.4,1.51,0.83,315000,425000,4900,3.13,33118-XL
90,155,46,34,120.5,0.33,1.84,1.01,280000,410000,4400,3.5,T2ED090
90,160,32.5,32,120,0.42,1.43,0.79,239000,260000,5000,2.61,30218-XL
90,160,42.5,36,122.1,0.42,1.43,0.79,310000,360000,4800,3.43,32218-XL
